food_name,serving_quantity,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,saturated_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,zinc_mg,vitamin_a_ug,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_ug,vitamin_b12_ug,vitamin_c_mg,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug
Aappam with Stew (Composite serving density),100 g,122,1.8,15.4,6.2,1.4,1.9,4.5,0,145,92,16,0.52,15,34,0.28,24,0.04,0.03,0.42,0.11,0.05,4.5,0,1.8,0,0.16,1.1
Adai,1 piece (~90g),198,8.4,30.2,4.6,5.2,0.8,0.7,0,270,360,41,2.1,58,142,0.95,24,0.21,0.09,1.1,0.32,0.14,48.5,0,1.2,0,0.62,3.4
Almonds,100 g,579,21.2,21.6,49.9,12.5,4.4,3.8,0,1,733,269,3.71,270,481,3.12,1,0.21,1.14,3.62,0.47,0.14,44.0,0,0,0,25.6,0.0
Aloo Paratha / Gobi / Methi Paratha,1 piece (~120g),275,5.8,44.2,8.1,4.6,1.1,2.4,4,395,240,31,1.95,42,98,0.88,14,0.18,0.06,1.95,0.32,0.14,22.0,0.01,4.5,0.02,0.68,3.6
Amla (Indian Gooseberry Raw),1 piece (~40g),19,0.3,4.1,0.2,1.4,0.4,0.01,0,1,78,10,0.48,4,8,0.05,4,0.01,0.01,0.12,0.06,0.03,2.4,0,240.0,0,0.08,0.0
Appalam (Fried),1 piece (~12g),49,2.1,5.2,2.2,0.6,0.1,0.4,0,195,84,14,0.48,16,34,0.18,0,0.02,0.01,0.24,0.05,0.02,4.5,0,0,0,0.18,0.6
Appam,1 piece (~50g),95,1.4,17.2,2.3,0.6,1.8,1.6,0,115,68,8,0.35,11,28,0.22,0,0.03,0.01,0.28,0.06,0.03,1.8,0,0.2,0,0.08,0.3
Appam / Paal Appam,1 piece (~50g),95,1.4,17.2,2.3,0.6,1.8,1.6,0,115,68,8,0.35,11,28,0.22,0,0.03,0.01,0.28,0.06,0.03,1.8,0,0.2,0,0.08,0.3
Apple,1 piece (~150g),78,0.4,20.7,0.2,3.6,15.6,0.04,0,1,160,9,0.18,7,16,0.06,4,0.02,0.03,0.14,0.09,0.06,4.5,0,6.9,0,0.27,3.3
Aval (Poha) Plain Dry,100 g,346,6.6,77.3,1.2,2.8,0.6,0.25,0,8,145,20,5.5,64,178,1.1,0,0.24,0.05,2.1,0.45,0.16,15.0,0,0,0,0.08,0.2
