id,name,calories,protein,carbs,fat
1,100g Muesli with Milk + 3 Egg Whites + Buttermilk,211,16.8,24.6,4.7
2,100g Boiled Corn + 30g Soya Chunks,200,19.0,30.9,1.6
3,1 Banana + 75g Chicken Breast + Buttermilk,201,21.2,24.4,3.1
4,1 Banana + 75g Tuna + Buttermilk,198,21.3,24.4,2.1
5,1 Guava + 150g Greek Yogurt,214,16.1,20.3,8.4
6,1 Guava + 75g Paneer,267,16.3,15.2,16.5
7,1 Guava + 2 Boiled Eggs,224,15.2,15.5,11.5
8,100g Boiled Corn + 150g Sprouts Sundal + Buttermilk,336,15.3,50.4,9.9
9,100g Boiled Corn + 50g Cheese + Buttermilk,295,15.1,23.8,16.9
10,1 Guava + 150g Chana Sundal + Buttermilk,336,15.6,48.0,9.9
11,1 Guava + 150g Chickpea Sundal + Buttermilk,336,15.8,47.1,10.2
12,75g Roasted Chana + Buttermilk,299,15.1,45.3,5.5
13,100g Muesli with Milk + 3 Egg Whites,189,15.7,23.0,3.5
14,1 Apple + 30g Soya Chunks + Buttermilk,204,17.1,32.2,1.5
15,100g Muesli with Milk + 50g Chicken Breast,198,17.6,22.4,4.2
16,100g Muesli with Milk + 50g Tuna,196,17.6,22.4,3.6
17,100g Fruit Salad + 150g Greek Yogurt + Buttermilk,214,15.2,19.1,8.8
18,100g Fruit Salad + 75g Paneer + Buttermilk,267,15.4,14.0,16.9
19,1 Guava + 2 Boiled Eggs + Buttermilk,246,16.3,17.1,12.7
20,100g Cornflakes with Milk + 50g Cheese + Buttermilk,304,15.8,21.0,17.2
21,1 Orange + 75g Roasted Chana,338,15.2,59.0,4.4
22,100g Cornflakes with Milk + 3 Egg Whites + Buttermilk,178,16.0,20.4,3.3
23,1 Guava + 30g Soya Chunks + Buttermilk,194,19.3,25.8,2.2
24,100g Pomegranate + 75g Chicken Breast + Buttermilk,195,21.8,20.3,4.0
25,100g Boiled Corn + 75g Tuna + Buttermilk,205,23.6,22.6,3.3
26,100g Fruit Bowl + 150g Greek Yogurt + Buttermilk,220,15.2,20.4,8.9
27,100g Fruit Bowl + 75g Paneer + Buttermilk,273,15.4,15.3,17.0
28,100g Boiled Corn + 2 Boiled Eggs,252,16.0,22.2,12.1
29,100g Muesli with Milk + 50g Cheese,315,15.5,23.6,17.4
30,100g Boiled Corn + 3 Egg Whites + Buttermilk,169,15.3,23.2,3.0
31,50g Soya Chunks + Buttermilk,194,27.1,18.1,1.4
32,100g Cornflakes with Milk + 75g Chicken Breast,195,23.1,18.2,3.4
33,100g Pomegranate + 75g Tuna + Buttermilk,192,21.9,20.3,3.0
34,1 Orange + 150g Greek Yogurt + Buttermilk,228,15.8,22.9,8.8
35,1 Orange + 75g Paneer + Buttermilk,282,16.0,17.8,16.9
36,100g Pomegranate + 2 Boiled Eggs + Buttermilk,261,15.4,21.5,13.0
37,100g Muesli with Milk + 50g Cheese + Buttermilk,337,16.6,25.2,18.6
38,50g Popcorn + 3 Egg Whites,244,17.2,39.5,2.5
39,1 Banana + 30g Soya Chunks,192,16.7,32.7,0.4
40,100g Boiled Corn + 75g Chicken Breast + Buttermilk,208,23.5,22.6,4.3
41,100g Cornflakes with Milk + 75g Tuna,192,23.2,18.2,2.4
42,100g Pomegranate + 150g Greek Yogurt,228,15.2,24.7,8.7
43,100g Pomegranate + 75g Paneer,282,15.4,19.6,16.8
44,100g Cornflakes with Milk + 2 Boiled Eggs,261,16.7,19.4,12.4
45,1 Veg Sandwich + 3 Egg Whites,246,17.2,35.4,3.5
46,100g Pomegranate + 30g Soya Chunks + Buttermilk,208,18.4,30.2,2.5
47,1 Apple + 75g Chicken Breast + Buttermilk,190,20.5,22.3,3.0
48,1 Apple + 75g Tuna + Buttermilk,187,20.6,22.3,2.0
49,1 Guava + 150g Greek Yogurt + Buttermilk,236,17.2,21.9,9.6
50,1 Guava + 75g Paneer + Buttermilk,289,17.4,16.8,17.7
51,100g Boiled Corn + 2 Boiled Eggs + Buttermilk,274,17.1,23.8,13.3
52,50g Puffed Rice + 3 Egg Whites + Buttermilk,254,15.1,42.2,1.7
53,100g Cornflakes with Milk + 30g Soya Chunks,208,19.7,28.1,1.9
54,100g Cornflakes with Milk + 50g Chicken Breast + Buttermilk,187,17.9,19.8,4.0
55,100g Cornflakes with Milk + 75g Tuna + Buttermilk,214,24.3,19.8,3.6
56,100g Boiled Corn + 150g Greek Yogurt,242,16.9,27.0,9.0
57,100g Muesli with Milk + 50g Paneer + Buttermilk,292,15.2,24.6,14.8
