id,name,calories,protein,carbs,fat
1,3 Idiyappam + 3 Boiled Eggs,420,22.2,43.2,16.5
2,2 Kal Dosa + 4 Egg Whites + Sambar,423,23.3,63.3,7.2
3,1 Uthappam + 100g Chicken Curry + Sambar,422,21.4,50.6,14.4
4,2 Appam + 100g Grilled Chicken + Sambar,420,35.9,43.3,10.6
5,1 Rava Dosa + 100g Paneer,420,22.1,26.6,25.0
6,2 Kal Dosa + 100g Fish Curry,418,22.0,56.0,10.5
7,3 Idli + 200g Greek Yogurt + Sambar,424,25.5,50.8,12.7
8,100g Oats Porridge + 100g Roasted Chana,423,20.5,67.6,6.7
9,2 Plain Dosa + 50g Soya Chunks,422,31.6,61.3,5.7
10,2 Set Dosa + 100g Fish Fry,420,22.9,41.2,17.9
11,1 Adai + 1 Omelette,413,21.2,32.6,21.8
12,1 Pesarattu + 50g Peanuts,448,20.7,34.2,28.0
13,2 Pesarattu + 200g Sprouts Salad,454,24.0,71.2,7.6
14,2 Pesarattu + 200g Curd,452,22.2,61.4,13.6
15,2 Pesarattu + 2 Egg Yolks,440,21.0,53.6,15.8
16,3 Ragi Idli + 3 Boiled Eggs,420,23.7,40.2,16.5
17,2 Oats Idli + 4 Egg Whites + Coconut Chutney,416,21.6,35.2,21.0
18,2 Chapati + 100g Chicken Curry + Sambar,423,23.6,55.7,12.6
19,2 Rava Idli + 100g Grilled Chicken + Sambar,418,37.9,39.3,11.2
20,2 Oats Idli + 100g Paneer,421,23.1,28.2,23.6
21,3 Oats Idli + 100g Fish Curry + Sambar,427,24.5,51.8,12.7
22,1 Pesarattu + 200g Greek Yogurt + Sambar,424,27.9,43.1,15.8
23,2 Idli + 100g Roasted Chana,479,22.2,80.8,6.0
24,100g Ven Pongal + 50g Soya Chunks + Sambar,422,32.7,50.2,10.2
25,100g Rava Upma + 100g Fish Fry + Sambar,417,23.8,35.2,20.0
26,3 Idli + 1 Omelette + Sambar,445,20.3,45.2,19.9
27,1 Adai + 50g Peanuts,482,21.3,38.2,29.2
28,2 Adai + 100g Sprouts Salad,458,21.0,69.8,9.6
29,2 Adai + 200g Curd,518,23.4,69.4,16.0
30,2 Adai + 2 Egg Yolks,506,22.2,61.6,18.2
31,1 Adai + 2 Boiled Eggs + Sambar,419,23.1,40.3,17.6
32,2 Onion Dosa + 4 Egg Whites,424,21.6,59.8,10.0
33,2 Set Dosa + 100g Chicken Curry + Sambar,417,21.0,49.1,15.0
34,3 Idiyappam + 100g Grilled Chicken + Sambar,416,36.4,50.3,6.6
35,100g Semiya Upma + 100g Paneer,417,21.7,25.3,25.4
36,2 Wheat Dosa + 100g Fish Curry + Sambar,429,25.1,56.9,12.1
37,2 Oats Idli + 200g Greek Yogurt + Sambar,415,24.9,43.9,15.2
38,100g Sambar Idli + 100g Roasted Chana,481,22.4,77.7,7.9
39,100g Oats Porridge + 50g Soya Chunks + Coconut Chutney,418,30.3,33.3,18.9
40,100g Samai Upma + 100g Fish Fry + Sambar,416,24.5,35.0,19.7
41,1 Pesarattu + 1 Omelette + Sambar,445,22.7,37.5,23.0
42,3 Idli + 50g Peanuts + Sambar,514,20.4,50.9,27.3
43,3 Chapati + 200g Sprouts Salad + Sambar,513,21.0,93.1,6.8
44,2 Veg Sandwich + 200g Curd + Sambar,577,21.5,87.5,15.6
45,2 Veg Sandwich + 2 Egg Yolks + Sambar,565,20.3,79.7,17.8
46,100g Ven Pongal + 3 Boiled Eggs,419,23.5,26.6,23.5
47,3 Idli + 4 Egg Whites + Coconut Chutney,425,22.2,42.1,18.5
48,3 Rava Idli + 100g Chicken Curry,424,21.7,48.8,15.6
49,3 Ragi Idli + 100g Grilled Chicken + Sambar,416,37.9,47.3,6.6
50,3 Idli + 100g Paneer,430,23.7,35.1,21.1
51,2 Idli + 100g Fish Curry + Coconut Chutney,430,21.2,32.4,24.1
52,1 Rava Dosa + 200g Greek Yogurt + Sambar,414,23.9,42.3,16.6
53,100g Oats Upma + 100g Roasted Chana,487,21.7,74.4,10.3
54,3 Idiyappam + 50g Soya Chunks + Sambar,424,31.4,66.8,3.2
55,1 Uthappam + 100g Fish Fry,425,23.3,42.7,17.3
56,3 Oats Idli + 1 Omelette,449,20.0,42.9,21.4
57,3 Oats Idli + 50g Peanuts,518,20.1,48.5,28.8
58,2 Veg Sandwich + 200g Sprouts Salad,514,21.2,88.4,7.2
59,1 Kanchipuram Idli + 3 Boiled Eggs + Sambar,419,24.2,28.5,22.4
60,3 Rava Idli + 4 Egg Whites + Sambar,415,23.7,55.3,10.6
61,2 Thinai Dosa + 100g Chicken Curry,410,22.3,47.4,13.4
62,2 Plain Dosa + 100g Grilled Chicken,415,36.6,44.8,9.0
63,1 Pesarattu + 100g Paneer,430,26.1,27.4,24.2
64,3 Rava Idli + 100g Fish Curry,410,22.4,48.0,13.9
65,100g Semiya Upma + 200g Greek Yogurt + Sambar,411,23.5,41.0,17.0
