id,name,calories,protein,carbs,fat
1,2 Set Dosa + 150g Chicken Curry + Avial/Kootu,521,28.5,50.9,22.6
2,2 Rava Idli + 200g Egg Curry + Sambar,521,20.5,47.7,27.2
3,2 Thinai Dosa + 1 Omelette + Rasam,517,21.2,51.4,24.3
4,2 Rava Idli + 3 Boiled Eggs + Avial/Kootu,520,26.1,41.3,27.2
5,100g White Rice + 200g Paneer Curry + Curd,519,20.5,40.9,30.6
6,3 Idli + 250g Dal Fry + Curd,521,22.2,76.4,13.5
7,1 Onion Dosa + 150g Mutton Curry + Sambar,520,30.3,42.6,25.5
8,3 Rava Idli + 100g Grilled Chicken + Poriyal,521,39.8,53.8,15.6
9,3 Rava Idli + 100g Tandoori Chicken + Poriyal,521,33.6,54.9,18.8
10,2 Ragi Dosa + 150g Fish Curry + Sambar,521,31.1,60.9,16.5
11,2 Wheat Dosa + 100g Fish Fry + Poriyal,520,27.9,58.0,20.9
12,3 Ragi Idli + 150g Paneer Butter Masala + Curd,524,20.7,49.7,27.4
13,2 Chapati + 200g Rajma / Chole + Rasam,518,20.0,85.4,12.1
14,1 Adai + 150g Chana Sundal + Poriyal,518,22.1,69.6,16.9
15,2 Plain Dosa + 50g Soya Chunks + Avial/Kootu,520,34.0,70.4,11.8
16,2 Kambu Dosa + 150g Greek Yogurt + Avial/Kootu,520,23.5,62.1,19.4
17,2 Ragi Dosa + 150g Prawn Curry + Sambar,521,31.4,61.9,16.5
18,2 Wheat Dosa + 150g Sprouts Sundal + Sambar,518,20.7,82.2,13.2
19,3 Rava Idli + 100g Chicken Curry + Avial/Kootu,522,24.1,57.9,21.7
20,3 Ragi Idli + 200g Egg Curry + Sambar,519,20.5,55.7,22.6
21,2 Wheat Dosa + 1 Omelette + Sambar,516,22.7,56.9,23.2
22,2 Plain Dosa + 3 Boiled Eggs + Rasam,518,25.1,51.4,22.8
23,1 Adai + 150g Paneer Curry + Poriyal,518,21.1,44.5,29.1
24,2 Chapati + 200g Dal Fry + Curd,513,21.1,78.5,13.6
25,150g Millet Rice + 150g Mutton Curry + Sambar,520,31.9,46.7,22.2
26,2 Onion Dosa + 100g Grilled Chicken,521,38.2,59.0,13.2
27,2 Onion Dosa + 100g Tandoori Chicken,521,32.0,60.1,16.4
28,2 Thinai Dosa + 150g Fish Curry + Curd,521,33.9,52.3,18.1
29,2 Kambu Dosa + 100g Fish Fry + Rasam,520,26.7,56.0,20.4
30,150g Millet Rice + 150g Paneer Butter Masala + Curd,516,21.2,44.8,28.3
31,2 Rava Idli + 200g Rajma / Chole + Curd,517,20.5,71.9,16.8
32,1 Uthappam + 150g Chana Sundal + Curd,522,20.2,74.2,15.7
33,3 Rava Idli + 50g Soya Chunks + Sambar,520,35.3,71.0,10.5
34,2 Ragi Dosa + 200g Greek Yogurt + Curd,519,27.5,60.9,18.4
35,2 Thinai Dosa + 150g Prawn Curry + Curd,521,34.2,53.4,18.1
36,1 Adai + 150g Sprouts Sundal + Avial/Kootu,514,21.6,67.0,17.9
37,100g Puttu + 150g Chicken Curry + Sambar,518,28.4,57.9,18.9
38,150g Millet Rice + 200g Egg Curry + Poriyal,519,20.5,50.2,25.3
39,100g Puttu + 1 Omelette + Curd,516,20.6,51.1,25.4
40,2 Ragi Dosa + 2 Boiled Eggs + Avial/Kootu,518,21.2,58.7,21.7
